text,language,label,group,source_kind
"Срочно. Проводите переводы в интересах третьих лиц за вознаграждение, работа полностью удаленная. Пишите в личные сообщения.",ru,1,1-14,synthetic_from_official_risk_patterns
"Новая вакансия. Принимайте переводы на свою карту и сразу пересылайте их менеджеру, десять процентов оставляете себе. Подробности после отклика.",ru,1,1-0,synthetic_from_official_risk_patterns
"Финансовый помощник: распределяйте входящие суммы по нескольким счетам, обучение за пять минут. Подробности после отклика.",ru,1,1-19,synthetic_from_official_risk_patterns
"Удаленно. Принимайте переводы на свою карту и сразу пересылайте их менеджеру, десять процентов оставляете себе. Байланыс үшін хабарласыңыз.",ru,1,1-0,synthetic_from_official_risk_patterns
Хабарландыру: Менеджер по продажам консультирует клиентов и оформляет заказы только через корпоративную кассу.,ru,0,0-15,synthetic_from_official_risk_patterns
"Удаленно. Ищем курьера для доставки документов. Маршруты выдаются в приложении, наличные принимать не нужно. Подробности после отклика.",ru,0,0-5,synthetic_from_official_risk_patterns
"Срочно. Жеке картаңызға ақша қабылдап, оны менеджер көрсеткен шотқа аударыңыз. Әр төлемнен он пайыз аласыз. Байланыс үшін хабарласыңыз.",kk,1,1-20,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Удаленная работа переводчиком. Оплата по договору после сдачи согласованного объема текста. Подробности после отклика.,ru,0,0-6,synthetic_from_official_risk_patterns
"Хабарландыру: Нужно прогонять деньги через Kaspi и снимать наличные, происхождение средств обсуждать нельзя. Подробности после отклика.",ru,1,1-9,synthetic_from_official_risk_patterns
Новая вакансия. Нужен преподаватель математики. Обязанности: вести занятия и проверять домашние работы. Подробности после отклика.,ru,0,0-3,synthetic_from_official_risk_patterns
"Новая вакансия. Вакансия SMM-менеджера: контент-план, публикации и аналитика. Отбор по портфолио. Пишите в личные сообщения.",ru,0,0-9,synthetic_from_official_risk_patterns
"Банкоматтан ақшаны шешіп, куратор айтқан адамға тапсырыңыз.",kk,1,1-27,synthetic_from_official_risk_patterns
"Ищем платежного агента без опыта: деньги приходят вам, вы переводите дальше и сохраняете комиссию. Пишите в личные сообщения.",ru,1,1-12,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Стажер-разработчик будет исправлять ошибки в приложении и участвовать в код-ревью. Пишите в личные сообщения.,ru,0,0-17,synthetic_from_official_risk_patterns
"Новая вакансия. Стажировка аналитика: работа с таблицами, подготовка отчетов, договор и наставник со стороны компании. Пишите в личные сообщения.",ru,0,0-4,synthetic_from_official_risk_patterns
"Дүкенге кассир қажет. Ресми еңбек шарты, ауысымдық кесте және тұрақты жалақы бар. Байланыс үшін хабарласыңыз.",kk,0,0-21,synthetic_from_official_risk_patterns
Хабарландыру: Удаленная работа переводчиком. Оплата по договору после сдачи согласованного объема текста. Байланыс үшін хабарласыңыз.,ru,0,0-6,synthetic_from_official_risk_patterns
"Передайте доступ к интернет-банкингу, мы сами проведем операции и заплатим вечером.",ru,1,1-2,synthetic_from_official_risk_patterns
"Пришлите реквизиты карты, CVV и код подтверждения. Это нужно для подключения зарплатного проекта.",ru,1,1-15,synthetic_from_official_risk_patterns
Водитель компании работает на служебной машине и получает фиксированную ставку за смену.,ru,0,0-18,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Ищем junior-дизайнера. Нужны портфолио, тестовое задание и собеседование с руководителем.",ru,0,0-0,synthetic_from_official_risk_patterns
"Удаленно. Подработка промоутером: раздача листовок два часа, расчет официально после смены. Байланыс үшін хабарласыңыз.",ru,0,0-19,synthetic_from_official_risk_patterns
"Удаленно. Банкоматтан ақшаны шешіп, куратор айтқан адамға тапсырыңыз. Пишите в личные сообщения.",kk,1,1-27,synthetic_from_official_risk_patterns
Қолдау операторы клиенттердің сұрақтарына CRM жүйесінде жауап береді. Пишите в личные сообщения.,kk,0,0-22,synthetic_from_official_risk_patterns
"Финансовый помощник: распределяйте входящие суммы по нескольким счетам, обучение за пять минут.",ru,1,1-19,synthetic_from_official_risk_patterns
Банк картаңызды жалға береміз деген ұсыныс: күнделікті табыс және ешқандай құжат жоқ.,kk,1,1-30,synthetic_from_official_risk_patterns
"Хабарландыру: Компания PIN, CVV, SMS кодын немесе банк қосымшасына кіруді сұрамайды. Подробности после отклика.",kk,0,0-26,synthetic_from_official_risk_patterns
"Нужен бариста с обучением. Зарплата фиксированная, адрес и БИН работодателя указаны в объявлении.",ru,0,0-11,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Бағдарламашы тағылымдамасы: код жазу, қателерді түзету және командалық тексеру. Пишите в личные сообщения.",kk,0,0-30,synthetic_from_official_risk_patterns
Удаленно. Для верификации сотрудника отправьте SMS-код и фото банковской карты с двух сторон. Байланыс үшін хабарласыңыз.,ru,1,1-5,synthetic_from_official_risk_patterns
Хабарландыру: Қолдау операторы клиенттердің сұрақтарына CRM жүйесінде жауап береді.,kk,0,0-22,synthetic_from_official_risk_patterns
"Новая вакансия. Для оформления сотрудник предоставляет документы в отдел кадров, банковские пароли не требуются. Пишите в личные сообщения.",ru,0,0-16,synthetic_from_official_risk_patterns
"Новая вакансия. Подработка промоутером: раздача листовок два часа, расчет официально после смены. Подробности после отклика.",ru,0,0-19,synthetic_from_official_risk_patterns
Удаленно. Нужна ваша карта Kaspi на пару дней. За каждый входящий платеж получите процент.,ru,1,1-1,synthetic_from_official_risk_patterns
"Удаленно. Вакансия SMM-менеджера: контент-план, публикации и аналитика. Отбор по портфолио. Байланыс үшін хабарласыңыз.",ru,0,0-9,synthetic_from_official_risk_patterns
"Если банк спросит о переводах, скажите, что это личные расчеты. Не упоминайте работодателя. Байланыс үшін хабарласыңыз.",ru,1,1-17,synthetic_from_official_risk_patterns
"Удаленно. Вакансия оператора поддержки: отвечать клиентам в CRM, обучение проходит в офисе компании. Пишите в личные сообщения.",ru,0,0-2,synthetic_from_official_risk_patterns
"Промоутерге екі сағаттық жұмыс, төлем ауысым аяқталған соң ресми түрде беріледі. Подробности после отклика.",kk,0,0-31,synthetic_from_official_risk_patterns
"Срочно. Требуется кассир в магазин. Официальное трудоустройство, сменный график и фиксированный оклад. Пишите в личные сообщения.",ru,0,0-1,synthetic_from_official_risk_patterns
"SMM менеджердің міндеті: контент жоспарлау, жариялау және нәтижені талдау.",kk,0,0-28,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Ресми келісімшарт қажет емес, тек белсенді картаңыз болса жеткілікті. Байланыс үшін хабарласыңыз.",kk,1,1-26,synthetic_from_official_risk_patterns
"Удаленно. Зарегистрируйте ИП и счет на себя, документы и управление будут у нашего бухгалтера. Байланыс үшін хабарласыңыз.",ru,1,1-13,synthetic_from_official_risk_patterns
После подписания трудового договора зарплата перечисляется работодателем один раз в месяц.,ru,0,0-8,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Банк сұраса, аударымдар жеке төлемдер деп айтыңыз және жұмыс туралы айтпаңыз. Подробности после отклика.",kk,1,1-28,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Требуется кассир в магазин. Официальное трудоустройство, сменный график и фиксированный оклад. Пишите в личные сообщения.",ru,0,0-1,synthetic_from_official_risk_patterns
"Хабарландыру: Банкоматтан ақшаны шешіп, куратор айтқан адамға тапсырыңыз.",kk,1,1-27,synthetic_from_official_risk_patterns
"Новая вакансия. Junior дизайнер іздейміз. Портфолио, тест тапсырмасы және сұхбат міндетті.",kk,0,0-20,synthetic_from_official_risk_patterns
"Хабарландыру: Стажировка аналитика: работа с таблицами, подготовка отчетов, договор и наставник со стороны компании.",ru,0,0-4,synthetic_from_official_risk_patterns
Срочно. После подписания трудового договора зарплата перечисляется работодателем один раз в месяц. Байланыс үшін хабарласыңыз.,ru,0,0-8,synthetic_from_official_risk_patterns
"Нужно прогонять деньги через Kaspi и снимать наличные, происхождение средств обсуждать нельзя.",ru,1,1-9,synthetic_from_official_risk_patterns
"Хабарландыру: SMM менеджердің міндеті: контент жоспарлау, жариялау және нәтижені талдау.",kk,0,0-28,synthetic_from_official_risk_patterns
"Удаленно. Нужен бариста с обучением. Зарплата фиксированная, адрес и БИН работодателя указаны в объявлении. Подробности после отклика.",ru,0,0-11,synthetic_from_official_risk_patterns
"Аналитик тағылымдамасы: кестелермен жұмыс, есеп дайындау және ресми келісімшарт.",kk,0,0-24,synthetic_from_official_risk_patterns
Новая вакансия. Для верификации сотрудника отправьте SMS-код и фото банковской карты с двух сторон. Байланыс үшін хабарласыңыз.,ru,1,1-5,synthetic_from_official_risk_patterns
Срочно. Оператор склада принимает товар по накладным и ведет учет в системе. Трудовой договор обязателен. Байланыс үшін хабарласыңыз.,ru,0,0-13,synthetic_from_official_risk_patterns
Жұмыс ұсынысы. Приведите двух друзей с банковскими картами и получите дополнительный бонус. Байланыс үшін хабарласыңыз.,ru,1,1-16,synthetic_from_official_risk_patterns
"Хабарландыру: Junior дизайнер іздейміз. Портфолио, тест тапсырмасы және сұхбат міндетті. Подробности после отклика.",kk,0,0-20,synthetic_from_official_risk_patterns
"Хабарландыру: Kaspi картаңызды бірнеше күнге беріңіз, күн сайын сыйақы төлейміз.",kk,1,1-21,synthetic_from_official_risk_patterns
"Срочно. Өз атыңызға жаңа шот ашып, логин мен құпиясөзді менеджерге беріңіз. Подробности после отклика.",kk,1,1-24,synthetic_from_official_risk_patterns
Еңбек шартына қол қойылғаннан кейін жалақы айына бір рет төленеді.,kk,0,0-27,synthetic_from_official_risk_patterns
"Принимайте переводы на свою карту и сразу пересылайте их менеджеру, десять процентов оставляете себе.",ru,1,1-0,synthetic_from_official_risk_patterns
"CVV мен SMS кодын жіберіңіз, сонда жалақы жүйесіне қосамыз. Байланыс үшін хабарласыңыз.",kk,1,1-31,synthetic_from_official_risk_patterns
"Стажировка аналитика: работа с таблицами, подготовка отчетов, договор и наставник со стороны компании.",ru,0,0-4,synthetic_from_official_risk_patterns
"Ищем платежного агента без опыта: деньги приходят вам, вы переводите дальше и сохраняете комиссию.",ru,1,1-12,synthetic_from_official_risk_patterns
"Новая вакансия. Сіздің міндетіңіз: түскен ақшаны басқа адамдарға аудару, әр операциядан комиссия аласыз. Байланыс үшін хабарласыңыз.",kk,1,1-25,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Подтвердите вход в приложение кодом из SMS, после этого начнется оплачиваемая стажировка. Подробности после отклика.",ru,1,1-18,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Пришлите реквизиты карты, CVV и код подтверждения. Это нужно для подключения зарплатного проекта.",ru,1,1-15,synthetic_from_official_risk_patterns
Срочно. Водитель компании работает на служебной машине и получает фиксированную ставку за смену. Подробности после отклика.,ru,0,0-18,synthetic_from_official_risk_patterns
"Хабарландыру: Аналитик тағылымдамасы: кестелермен жұмыс, есеп дайындау және ресми келісімшарт. Байланыс үшін хабарласыңыз.",kk,0,0-24,synthetic_from_official_risk_patterns
"Жұмыс ұсынысы. Промоутерге екі сағаттық жұмыс, төлем ауысым аяқталған соң ресми түрде беріледі. Пишите в личные сообщения.",kk,0,0-31,synthetic_from_official_risk_patterns
Срочно. Для верификации сотрудника отправьте SMS-код и фото банковской карты с двух сторон. Подробности после отклика.,ru,1,1-5,synthetic_from_official_risk_patterns
"Хабарландыру: Ассистент проекта будет вести календарь, готовить документы и протоколы встреч. Пишите в личные сообщения.",ru,0,0-10,synthetic_from_official_risk_patterns
Новая вакансия. Қолдау операторы клиенттердің сұрақтарына CRM жүйесінде жауап береді. Подробности после отклика.,kk,0,0-22,synthetic_from_official_risk_patterns
"Қойма операторы тауарды құжат бойынша қабылдап, жүйеде есеп жүргізеді.",kk,0,0-29,synthetic_from_official_risk_patterns
"Компания PIN, CVV, SMS кодын немесе банк қосымшасына кіруді сұрамайды.",kk,0,0-26,synthetic_from_official_risk_patterns
Приведите двух друзей с банковскими картами и получите дополнительный бонус.,ru,1,1-16,synthetic_from_official_risk_patterns
"Новая вакансия. Нужно прогонять деньги через Kaspi и снимать наличные, происхождение средств обсуждать нельзя.",ru,1,1-9,synthetic_from_official_risk_patterns
Срочно. Работа курьером: забираете наличные по адресам и вносите их на чужие карты. Подробности после отклика.,ru,1,1-4,synthetic_from_official_risk_patterns
"Хабарландыру: Өз атыңызға жаңа шот ашып, логин мен құпиясөзді менеджерге беріңіз.",kk,1,1-24,synthetic_from_official_risk_patterns
"Хабарландыру: Компания не просит PIN, CVV, SMS-коды или доступ к личному банковскому приложению.",ru,0,0-7,synthetic_from_official_risk_patterns
"Вакансия SMM-менеджера: контент-план, публикации и аналитика. Отбор по портфолио.",ru,0,0-9,synthetic_from_official_risk_patterns
Срочно. После подписания трудового договора зарплата перечисляется работодателем один раз в месяц. Подробности после отклика.,ru,0,0-8,synthetic_from_official_risk_patterns
Оформление не требуется. Главное требование: активная карта и быстрые ответы менеджеру.,ru,1,1-8,synthetic_from_official_risk_patterns
"Kaspi картаңызды бірнеше күнге беріңіз, күн сайын сыйақы төлейміз.",kk,1,1-21,synthetic_from_official_risk_patterns
"Подработка промоутером: раздача листовок два часа, расчет официально после смены.",ru,0,0-19,synthetic_from_official_risk_patterns
Стажер-разработчик будет исправлять ошибки в приложении и участвовать в код-ревью.,ru,0,0-17,synthetic_from_official_risk_patterns
Ищем фотографа на один день. Оплата после съемки по договору оказания услуг.,ru,0,0-14,synthetic_from_official_risk_patterns
"Удаленно. Kaspi картаңызды бірнеше күнге беріңіз, күн сайын сыйақы төлейміз. Пишите в личные сообщения.",kk,1,1-21,synthetic_from_official_risk_patterns
"Дүкенге кассир қажет. Ресми еңбек шарты, ауысымдық кесте және тұрақты жалақы бар.",kk,0,0-21,synthetic_from_official_risk_patterns
Оператор склада принимает товар по накладным и ведет учет в системе. Трудовой договор обязателен.,ru,0,0-13,synthetic_from_official_risk_patterns
"Новая вакансия. Снимайте поступившие деньги в банкомате и отдавайте человеку, которого назовет куратор. Подробности после отклика.",ru,1,1-10,synthetic_from_official_risk_patterns
Новая вакансия. Ищем фотографа на один день. Оплата после съемки по договору оказания услуг. Пишите в личные сообщения.,ru,0,0-14,synthetic_from_official_risk_patterns
Работа курьером: забираете наличные по адресам и вносите их на чужие карты.,ru,1,1-4,synthetic_from_official_risk_patterns
"Срочно. Junior дизайнер іздейміз. Портфолио, тест тапсырмасы және сұхбат міндетті. Пишите в личные сообщения.",kk,0,0-20,synthetic_from_official_risk_patterns
